06082021 00:00|10052021|15|29|18|||SM1|SUPERMEDIA|02147260174||0431063877146|||||||DET|50,97|41,78|50,97|0|0|0|0|0|0|0|0|3||8018417245244|0761900|EKON|ECSPRAYDUST400ML|1|5,99|0|5,99|4,91|VEN||0|2,54
06082021 00:00|10052021|15|29|18|||SM1|SUPERMEDIA|02147260174||0431063877146|||||||DET|50,97|41,78|50,97|0|0|0|0|0|0|0|0|4||8002829812125|1064977|MAJESTIC|DEC665BK|1|35,00|0|35,00|28,69|VEN||0|25,25
06082021 00:00|10052021|15|32|19|||SM1|SUPERMEDIA|02147260174|||||||||DET|199,90|163,85|199,90|0|0|0|0|0|0|0|0|1||8058776779714|1052445|TELEFUNKEN|TKY1042F1C|1|199,90|0|199,90|163,85|VEN||0|157,56
06082021 00:00|10052021|16|33|20|||SM1|SUPERMEDIA|02147260174|||||||||DET|14,99|12,29|14,99|0|0|0|0|0|0|0|0|1||0193905408634|0990538|HP|7KX12AA|1|14,99|0|14,99|12,29|VEN||0|8,60
06082021 00:00|10052021|16|36|21|||SM1|SUPERMEDIA|02147260174||0431068957423|||||||DET|39,99|32,78|39,99|0|0|0|0|0|0|0|0|1||6971408152254|1033403|XIAOMI|MI TV STICK|1|39,99|0|39,99|32,78|VEN||0|26,55
06082021 00:00|10052021|16|37|22|||SM1|SUPERMEDIA|02147260174||0431036510971|||||||DET|89,98|73,76|89,98|0|0|0|0|0|0|0|0|1||8004399920613|0121059|DE LONGHI|DLS4 5519210141|1|9,99|0|9,99|8,19|VEN||0|6,30
06082021 00:00|10052021|16|37|22|||SM1|SUPERMEDIA|02147260174||0431036510971|||||||DET|89,98|73,76|89,98|0|0|0|0|0|0|0|0|2||8004399921658|0708880|DE LONGHI|XL130.21|1|79,99|0|79,99|65,57|VEN||0|62,20
06082021 00:00|10052021|16|38|23|||SM1|SUPERMEDIA|02147260174|||||||||DET|173,99|142,61|173,99|0|0|0|0|0|0|0|0|1||8056098120023|0614099|ESTENDO|GRELH12EL150M|1|34,99|0|34,99|28,68|VEN||0|22,32
06082021 00:00|10052021|16|38|23|||SM1|SUPERMEDIA|02147260174|||||||||DET|173,99|142,61|173,99|0|0|0|0|0|0|0|0|2||8806090872945|1063442|SAMSUNG|GALAXY A02 BLACK|1|139,00|0|139,00|113,93|VEN||0|104,43
06082021 00:00|10052021|16|40|25|||SM1|SUPERMEDIA|02147260174|||||||||DET|59,99|49,17|59,99|0|0|0|0|0|0|0|0|1||3016661159121|1066396|KRUPS|KP1A3BKA|1|59,99|0|59,99|49,17|VEN||0|35,19
